Total Score,Q1,CNCI,IC,TOP,AWARD,UNITID,Bio_Rank
376.4,100,100,75.9,100,61.2,166027,1
324.8,61.9,100,74.8,77.2,70.7,166683,2
318.8,62.5,100,70.6,68.6,73.6,243744,3
281,59.4,91.5,69.8,39.8,76.4,162928,4
280.5,56.7,100,69.9,59.8,50,122612,5
277.8,49.3,96,71.2,44.7,73.6,190150,6
276.3,59.7,93.4,67.9,38.9,70.7,236948,7
251.3,51.2,87.7,71.5,40.4,57.7,130794,8
241.1,50.2,95.1,68.5,41.3,40.8,110635,9
237.3,49.5,94,64.2,31,50,199120,10
221.4,27.5,99.7,66.5,26.9,54,110404,11
216.8,59.4,95.2,73.4,47.5,0,110680,12
216.8,59.4,95.2,73.4,47.5,0,122436,13
212.9,42.8,91.5,63.1,30.6,35.4,221999,14
208.6,30.7,94.6,68.9,28.6,40.8,186131,15
204.9,56.9,94.7,67.2,39.8,0,215062,16
202.7,53,94.1,71.4,41.3,0,110662,17
200.3,57.2,90.5,70,38.6,0,190415,18
197.1,46.5,97.7,64.1,40.1,0,179867,19
193.5,35.6,90.7,64.4,19,35.4,230764,20
192.7,54.8,91,66.2,33.6,0,170976,21
185.3,40.2,95.7,72,35,0,193900,22
184.2,50.3,87.5,67.4,32.9,0,198419,23
183.9,42,96.6,69.6,31.4,0,144050,24
175,15.7,79.4,62.2,9.8,57.7,161253,25
174.2,39.5,97.3,71.8,23,0,123961,26
,36.1,90.7,68.6,25,0,164988,27
,15.1,74.8,57.9,9.8,57.7,165015,28
,42,84.7,64.8,25,0,139658,29
,49,82.5,70.4,20.8,0,110644,30
,44.5,84.7,66,20.8,0,215293,31
,39.8,87.2,63.6,21.4,0,147767,32
,25.6,100,69.5,21.9,0,110714,33
,46.9,82.6,62.1,17.7,0,240444,34
,34,82,64.1,19.6,0,201645,35
,34.4,81.5,63.9,14.7,0,151351,36
,32.9,84.5,65.6,14.7,0,214777,37
,23.3,100,70.3,6.9,0,216339,38
,33.5,82.2,65.6,13.9,0,100663,39
,33.5,82.2,65.6,13.9,0,100663,40
,32.9,81.6,66.4,17.7,0,110653,41
,27.2,87.6,62.2,15.5,0,126614,42
,47,73,68,13,0,134130,43
,38.6,79.9,67.1,17,0,145637,44
,30.7,87.6,67.6,12,0,163259,45
,30.7,87.6,67.6,12,0,163268,46
,30.8,89.8,68.6,17,0,197708,47
,26.3,81.3,71,14.7,0,104151,48
,26.7,82.8,64,13,0,217156,49
,28,86.1,67.1,14.7,0,196097,50
,36,76.7,68.6,13,0,228723,51
,35.7,75,64.2,13.9,0,139959,52
,32.9,80.9,64.8,11,0,104179,53
,29.2,80.2,66.6,16.3,0,201885,54
,30.6,81.3,60,12,0,153658,55
,29.4,80.3,70.7,16.3,0,135726,56
,31.4,82.6,66.9,14.7,0,234076,57
,27.2,81.5,60.9,9.8,0,126818,58
,24.3,81.4,64.9,11,0,182670,59
,21.7,81.3,61.4,11,0,134097,60
,19.9,91.6,66.1,6.9,0,131496,61
,34.2,77.2,65.7,4.9,0,171100,62
,30.3,79.8,65.7,4.9,0,209542,63
,31.9,73.5,65.4,12,0,243780,64
,20.4,81.1,62,12,0,227757,65
,22.1,82,71.2,8.5,0,131469,66
,20.6,82.8,67.9,14.7,0,216366,67
,24.5,76.5,63.7,13.9,0,168148,68
,21.8,77.7,65.5,11,0,160755,69
,28.7,79.1,68.4,8.5,0,110671,70
,23.8,83,67.1,8.5,0,110705,71
,14.6,97.2,69,6.9,0,126562,72
,28.3,75.4,66.6,11,0,129020,73
,21,89.9,58.7,4.9,0,130943,74
,30,75.6,64.8,6.9,0,145600,75
,28.5,74.1,65.7,13.9,0,155317,76
,29.4,81.2,66.3,9.8,0,163286,77
,10.8,94.3,66.9,4.9,0,166638,78
,17.8,91.4,71,0,0,176017,79
,17.2,91.2,65.6,6.9,0,209551,80
,27.6,79.8,62.3,13,0,195030,81
,22.9,80.7,64.3,6.9,0,234030,82
,20.7,82.5,67,9.8,0,199847,83
,18.5,82.1,58,6.9,0,211440,84
,26.3,76.6,64.5,4.9,0,139755,85
,18.6,73.9,66.3,11,0,139940,86
,25.5,78.8,65.9,0,0,153603,87
,23.6,84.3,67.2,0,0,155399,88
,15.2,88.6,59.2,4.9,0,146719,89
,13,86.2,65,4.9,0,105330,90
,13.3,84.2,68.6,9.8,0,445188,91
,27.2,75,64.2,6.9,0,157085,92
,12.5,85.6,69.2,4.9,0,160658,93
,24.3,78.6,64.9,6.9,0,166629,94
,11.2,91.4,64.7,0,0,199139,95
,18.7,80.9,61.3,4.9,0,152080,96
,23,75.5,62.9,9.8,0,221759,97
,20.8,81.2,65.4,4.9,0,231174,98
,26.9,73.2,64.7,9.8,0,236939,99
,23.7,75,61.9,9.8,0,172644,100
,16.4,72.7,64.8,6.9,0,179159,101
,20.4,76.5,69.2,0,0,141574,102
,19.5,70,68,6.9,0,157289,103
,24.3,69.9,64.1,4.9,0,181464,104
,17.8,73.8,61.8,9.8,0,182290,105
,24.4,71.5,66.5,4.9,0,137351,106
,16.9,75.7,63.1,4.9,0,240727,107
,16.7,73.6,58.8,8.5,0,230728,108